% u
@RELATION anthropometry

@ATTRIBUTE Peaks-HipRight_KneeRight REAL
@ATTRIBUTE Valleys-HipRight_KneeRight REAL
@ATTRIBUTE Peaks-KneeRight_AnkleRight REAL
@ATTRIBUTE Valleys-KneeRight_AnkleRight REAL
@ATTRIBUTE Peaks-AnkleRight_FootRight REAL
@ATTRIBUTE Valleys-AnkleRight_FootRight REAL
@ATTRIBUTE StrideLength REAL
@ATTRIBUTE StrideWidth REAL
@ATTRIBUTE CycleTime REAL
@ATTRIBUTE Velocity REAL
@ATTRIBUTE Name {0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}

@DATA
14.8033308009,-20.0253922521,32.4070219525,5.26592927553,51.7597015577,25.6956586256,1.04382861253,0.149131200067,1.11777777778,0.933842695104,0
12.0630161435,-19.9316955833,36.501401976,8.24921707825,62.5804907988,28.4739479175,0.734171237252,0.138899622813,0.88125,0.833102113194,0
7.40010414893,-19.9160585149,33.6430734813,8.59645276816,52.9421193672,23.3345584255,0.854465194289,0.142697284075,1.04666666667,0.816368020021,0
13.0135942566,-14.7885854236,36.7058321846,6.78997950871,57.6355163555,25.5795658848,0.90041895278,0.130357806423,1.1,0.818562684345,0
10.2195124779,-21.4879712722,31.7246161758,6.78314630072,58.9543463851,30.3103990238,0.920297258159,0.157934202153,1.08333333333,0.849505161377,0
17.7377718129,-20.2458630473,35.0729155335,9.57110702555,60.0309188265,28.0330986322,0.781049909582,0.123001311779,0.917543859649,0.851239863215,0
12.0622892175,-15.7560635511,36.7118035314,5.08618955578,57.221521409,15.5170041529,1.3095379162,0.141546859015,1.02666666667,1.27552394435,3
9.1415615173,-11.7393109908,33.7759199022,4.82882138208,64.6389562488,24.1003889456,1.25893704093,0.143096984391,1.00512820513,1.25251389276,3
8.1308493863,-15.3935747271,30.1187823809,4.28130557952,71.4294398457,35.4014993665,1.33335774045,0.137021862529,0.961538461538,1.38669205007,3
13.7566037974,-17.3448411467,36.111954278,2.83190356879,57.6187294528,18.9158983821,1.37235081119,0.124835585859,0.977777777778,1.40354060235,3
8.89247043441,-12.3297772355,35.5208302211,3.28183724889,61.3474895624,22.5596948477,1.07597218785,0.129511323397,0.916666666667,1.1737878413,3
10.1321227783,-14.116890485,34.3868945338,3.67097629714,66.7282193777,23.9337735502,1.32327031664,0.141232907185,1.01111111111,1.30872888459,3
15.8036367514,-14.8647316006,35.8404004864,4.7695190017,59.4070391783,22.5446783473,1.01350707834,0.085737434155,1.00724637681,1.00621566051,4
18.2351366412,-16.6909699049,35.7911154122,3.67183879852,63.3604944867,21.6504180896,1.10660939868,0.0875414282269,1.03611111111,1.06804124269,4
15.1735638447,-14.9262640549,35.9832758281,3.63505613305,65.2576618002,26.521585671,1.13150280938,0.0921522798774,1.0091954023,1.12119298879,4
16.283696485,-12.2386257892,32.9073633284,3.90678679692,60.6606976888,25.0894500167,1.14769129515,0.093655589468,1.00689655172,1.13983039587,4
18.3265860015,-13.9361830236,31.6078640174,4.33206056081,66.1304090528,27.3465347337,1.18725937152,0.0880272610506,1.01234567901,1.1727805987,4
11.1269404968,-13.5845993144,24.7357136152,4.77991591807,62.4355482737,42.2345410999,0.807941278661,0.126879500396,0.98,0.824429876184,6
15.7531016372,-14.9707455665,28.2567456294,5.13074565317,54.1668298764,26.8987045921,0.963051206423,0.107687935097,0.988095238095,0.974654233007,6
17.0704182329,-19.1078620468,27.403561402,4.53129793913,55.9174841531,20.7960859753,0.925925704962,0.113058720274,0.890476190476,1.0398096152,6
15.8830722264,-16.3655285728,27.2606287788,4.47784566815,55.1920738797,23.7949703576,1.00875530648,0.113696181251,1.03076923077,0.978643207781,6
14.8416922282,-14.221735776,30.8914791795,3.16461846378,59.0908419182,31.4688442796,1.12560662768,0.148820880699,1.00555555556,1.11938780653,7
11.9064523012,-15.990728274,29.2157115631,3.44441613001,65.1897435607,38.028422918,0.933830854545,0.14307384768,0.906666666667,1.02996050134,7
11.1860687417,-17.17341837,33.1329655756,5.769677103,52.5446698599,18.0922513201,0.873005998423,0.164701108127,0.998039215686,0.874721137909,7
13.9871283773,-18.7032603958,31.7014068586,6.52579319453,54.0338826934,22.8310613143,0.819493108427,0.15353547628,0.947916666667,0.864520202297,7
11.6348172168,-10.5758727597,33.7169312522,8.23803363521,57.181428647,29.5476879049,0.70687922025,0.152721059427,0.857894736842,0.823969643236,7
14.1488615665,-13.8257682084,26.3193020836,4.17653883204,61.8962191134,33.3708389349,1.2888140714,0.0992405534476,0.855555555556,1.50640605747,8
15.1988778173,-14.9141726499,30.2618239341,5.68993282951,52.3142919068,25.870477626,1.25425890331,0.104365201325,0.980555555556,1.2791308929,8
19.8723386978,-18.0291329369,29.3351338985,7.33819551228,62.7300048428,19.4936105196,1.10855188526,0.117608965678,0.825,1.34369925486,8
8.84870316322,-11.905841365,23.7870627455,6.14834889512,49.8333755029,21.0691164854,0.62230357659,0.108669223312,0.904761904762,0.687809216231,9
22.9660409585,-20.8598291592,31.7852128227,2.85291318516,49.8989639955,24.0971092219,1.05315717165,0.0962462766941,0.98,1.07465017515,9
15.2974922424,-16.0657580692,29.8517460455,4.16758259672,62.3149622496,23.538818234,0.891895260295,0.117755227266,0.883333333333,1.0096927475,9
21.3070983894,-17.0759767794,34.8829518995,3.47328215876,61.2578865972,22.0217959845,1.25049859544,0.0770395281993,1.13333333333,1.10338111362,9
13.9228867186,-15.6355184549,30.4457208505,10.0869307376,81.9731173886,30.9228894011,0.58354147669,0.312013943432,1.13333333333,0.514889538256,11
