% u
@RELATION anthropometry

@ATTRIBUTE SpineShoulder_ShoulderRight REAL
@ATTRIBUTE ShoulderRight_ElbowRight REAL
@ATTRIBUTE ElbowRight_WristRight REAL
@ATTRIBUTE WristRight_ThumbRight REAL
@ATTRIBUTE WristRight_HandRight REAL
@ATTRIBUTE HandRight_HandTipRight REAL
@ATTRIBUTE SpineBase_HipRight REAL
@ATTRIBUTE HipRight_KneeRight REAL
@ATTRIBUTE KneeRight_AnkleRight REAL
@ATTRIBUTE AnkleRight_FootRight REAL
@ATTRIBUTE Name {0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}

@DATA
0.160496652422,0.328470351227,0.306621262847,0.0941421635266,0.0840960812375,0.0628665783719,0.0553096999591,0.37791892241,0.335173249431,0.0990415422798,1
0.182340799716,0.298805978125,0.273286504908,0.120461486178,0.106711659081,0.0556786371701,0.0599398348059,0.345894793954,0.327200351598,0.100872440121,1
0.159209350755,0.320158371515,0.308001684336,0.115590760255,0.101072916989,0.0561345163765,0.0547148657473,0.379455135517,0.335218609215,0.0941273540495,1
0.187093087652,0.298677540002,0.282693027668,0.0857169040713,0.0756119428812,0.0578230221944,0.0607492491876,0.339506594737,0.323350452694,0.102446874284,1
0.172122883197,0.276718250154,0.262040901772,0.0758038167835,0.0689380684064,0.0400004470712,0.0301617603857,0.364507336824,0.312235226558,0.0982939278819,4
0.168903134096,0.257845287374,0.246559098783,0.0868435857573,0.0814184113105,0.0471278164477,0.0458831877283,0.359029474218,0.319023674062,0.097419253466,4
0.204460452566,0.258094248418,0.241473380508,0.0912339323055,0.0764077376774,0.0523417582706,0.0371197541094,0.336363552894,0.323983695557,0.100740966743,4
0.191374197738,0.297987739879,0.276175528328,0.0791239017384,0.0716887467616,0.0450360335376,0.0400502739234,0.341746604935,0.31430598833,0.0927999880623,4
0.167495248827,0.288864139451,0.265573450236,0.0758857358459,0.0697970962683,0.0431400212429,0.0351981542009,0.34478174037,0.325093308413,0.0981990141001,4
0.171090567397,0.233968908794,0.23034046664,0.105139363055,0.0974851986244,0.0408917896859,0.0458182640089,0.290163348912,0.315290437457,0.102535213202,5
0.161474629208,0.247382656983,0.237907820332,0.0870148713262,0.0775422979467,0.0400668256137,0.0495948242152,0.307471282006,0.313888417732,0.10144007391,5
0.145402941261,0.239685844051,0.227618758291,0.0820621288154,0.0776996688958,0.0359918920867,0.0433114563099,0.32464946372,0.330783924766,0.0907541308353,5
0.143619758801,0.251215116311,0.250109999588,0.0703505937924,0.0661120251598,0.0236817510575,0.0462374547842,0.356117176506,0.343426317684,0.095198074134,6
0.1733761942,0.266026599821,0.274740753505,0.0830381676178,0.0709252570173,0.05897320575,0.0619914817637,0.360726580393,0.330492790031,0.0832074837717,6
0.157390388294,0.261682513419,0.254658133989,0.0848016504867,0.0698789212225,0.06042209364,0.0561552725592,0.347660552636,0.334150516719,0.0815680800171,6
0.174380403356,0.262267495584,0.276965016318,0.0772120346935,0.0617020385187,0.0576293586866,0.06359015967,0.331917622455,0.347445858198,0.0992342989319,6
0.153663301791,0.30939404725,0.298322931002,0.110321740399,0.100265092929,0.0453799498064,0.0493784283027,0.40415332341,0.367618878405,0.112153261372,7
0.144894191557,0.318495164562,0.309029906645,0.0871768974885,0.0696444564672,0.0557215744973,0.0565624435383,0.404765839737,0.366535465726,0.104442516647,7
0.14138490717,0.305570669148,0.236527394914,0.0932062820447,0.0793365244256,0.0250503543408,0.0442216406438,0.402930351898,0.348598397044,0.101016536749,7
0.150054236999,0.288466605632,0.313031275271,0.121562110261,0.114722079221,0.0287585409307,0.0460153601067,0.399868056551,0.34847798235,0.10164335094,7
0.141756547567,0.305759329555,0.30533204387,0.11567579039,0.100695968511,0.0401297375356,0.0433320745091,0.394226066368,0.353402226715,0.0971807877893,7
0.176727864168,0.278891370276,0.263344926239,0.12425634931,0.102064559928,0.0748889389058,0.0397458249963,0.451793044127,0.409322459189,0.117466586025,8
0.117170681061,0.220510104605,0.225360517195,0.0947240152998,0.0689829348185,0.0605047444656,0.0440485839586,0.343423831153,0.368522067438,0.106954609732,8
0.122030295333,0.278656289179,0.272431008595,0.124360119159,0.097141187275,0.0772301907064,0.0289923711826,0.498237275409,0.38389459976,0.102968988088,8
0.211708298911,0.32595056676,0.319363648161,0.111324409248,0.0956758144692,0.0571442115995,0.0818375629343,0.506896793371,0.352619548943,0.129229845139,11
0.161509127503,0.33387729831,0.322862285792,0.106935134649,0.0788426784902,0.0524863859269,0.0575373087599,0.43375428956,0.360933748866,0.0910804986281,11
0.180120614032,0.277930552672,0.266814841417,0.117455538928,0.0905153848322,0.0616949152815,0.0667379237807,0.476159096125,0.371439272098,0.0900989471108,11
0.157857476421,0.27671747761,0.273786751019,0.103260897434,0.0888767308908,0.0601228354458,0.0569056708439,0.479947804409,0.365344397055,0.0948338140522,11
0.296294653154,0.245554669799,0.233795962223,0.083749429622,0.0723600406698,0.0490270140319,0.0509346042562,0.412567793469,0.352871664764,0.0961737951186,12
0.176082698941,0.266650346077,0.257869848105,0.0849543319815,0.0768793963765,0.0389615021085,0.0389083588858,0.379889952981,0.351646279907,0.0927776424036,12
0.178732863059,0.285467335233,0.266531224448,0.0911659640455,0.0797087599614,0.0457396715106,0.0359352130914,0.380381920506,0.338765946735,0.0835420217623,12
0.175528123608,0.284851561281,0.276702357252,0.100903281787,0.0850715886931,0.0508146827335,0.0425285645974,0.379355232351,0.331327621411,0.108193932114,12
